,jd,mag,mag_unc,filters,limmag,username,instrument
0,2459489.9823958,17.81618,0.07697006,g,18.405,N/A,ztf
1,2459489.9819213,17.813469,0.05081485,g,18.339,N/A,ztf
2,2459489.960162,17.424541,0.058317184,r,18.813,N/A,ztf
3,2459489.9596875,17.396309,0.055957478000000005,r,18.421999,N/A,ztf
4,2459488.9833565,17.82531,0.050301775,g,19.004,N/A,ztf
5,2459488.9414931,17.46837,0.056851663000000004,r,17.827,N/A,ztf
6,2459487.9825231,17.449840000000002,0.05755331700000001,r,18.813,N/A,ztf
7,2459487.9532639,17.8226,0.07187598,g,18.405,N/A,ztf
8,2459487.9528009,17.800009,0.057489075,g,18.339,N/A,ztf
9,2459485.9452546,17.466915,0.18859658,r,17.827,N/A,ztf
10,2459484.9979745,17.506308,0.06028406,r,18.813,N/A,ztf
11,2459484.9975,17.486046,0.0532648,r,18.421999,N/A,ztf
12,2459484.9201042,17.811626,0.0775902,g,18.405,N/A,ztf
13,2459484.9186921,17.742615,0.059972199999999996,g,18.339,N/A,ztf
14,2459480.9627894,17.440626,0.034078732,r,17.827,N/A,ztf
15,2459477.9845139,17.509699,0.0618511,r,17.827,N/A,ztf
16,2459477.9634606,17.705124,0.07658448,g,18.405,N/A,ztf
17,2459477.923044,17.476072,0.059057184000000006,r,18.813,N/A,ztf
18,2459477.922581,17.469933,0.042582795,r,18.421999,N/A,ztf
19,2459475.9617245,17.728308,0.064431615,g,18.339,N/A,ztf
20,2459475.9607755,17.786634,0.069412164,g,18.405,N/A,ztf
21,2459474.9425,17.816185,0.050893046000000004,g,19.004,N/A,ztf
22,2459473.9821296,17.808144,0.05092655,g,18.339,N/A,ztf
23,2459473.9816667,17.826223,0.06751878,g,18.405,N/A,ztf
24,2459473.9607523,17.710817,0.05852414,r,18.421999,N/A,ztf
25,2459473.9602778,17.75526,0.056619782,r,18.813,N/A,ztf
26,2459471.9614005,18.378342,0.09219718,r,17.827,N/A,ztf
0,2459495.5,17.2,0.1,r,19.11,NA,grandma
1,2459495.5,16.5,0.1,i,18.16,NA,grandma
2,2459496.5,18.5,0.2,g,18.69,NA,grandma
3,2459496.5,17.5,0.1,r,18.82,NA,grandma
4,2459496.5,17.2,0.2,i,17.93,NA,grandma
5,2459497.5,17.9,0.1,g,19.13,NA,grandma
6,2459497.5,17.4,0.1,r,19.09,NA,grandma
7,2459497.5,17.1,0.1,i,18.46,NA,grandma
